County,2012-2013 Total Dropouts,Cohort Dropout Rate
Adams,55,19.57
Asotin,70,23.65
Benton,371,14.61
Chelan,231,21.59
Clallam,971,51.05
Clark,876,15.09
Columbia,6,16.22
Cowlitz,239,17.63
Douglas,66,13.02
Ferry,6,9.23
Franklin,265,22.27
Garfield,1,3.57
Grant,326,23.66
Grays Harbor,211,24.59
Island,78,11.73
Jefferson,31,14.62
King,2907,14.56
Kitsap,389,12.74
Kittitas,79,19.9
Klickitat,88,29.83
Lewis,247,23.37
Lincoln,10,5.99
Mason,101,17.21
Okanogan,132,23.91
Pacific,127,40.71
Pend Oreille,18,12.33
Pierce,1831,19.02
San Juan,20,16.67
Skagit,336,22.16
Skamania,75,53.19
Snohomish,1334,15.67
Spokane,853,14.47
Stevens,245,34.22
Thurston,518,16.65
Wahkiakum,5,13.16
Walla Walla,86,12.29
Whatcom,358,18.27
Whitman,28,8.24
Yakima,885,23.54
